video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_Yoga_2,movenet,0,0.000000,single,dim,13,13,0,591.850000,224.600000,125.530000,424.530000,53291.250900,1,1,direct,0.072930,13,13,0.000000,0.000000,0,0.200000,113.992000,8.772545,ok,
SP_R_Yoga_2,movenet,1,0.040402,single,dim,13,13,0,591.850000,224.600000,125.860000,424.530000,53431.345800,1,1,direct,0.092799,13,13,0.000000,0.000000,0,0.200000,136.161900,7.344198,ok,
SP_R_Yoga_2,movenet,2,0.080804,single,dim,13,13,0,591.850000,224.600000,126.190000,424.530000,53571.440700,1,1,direct,0.093554,13,13,0.000000,0.000000,0,0.200000,128.947700,7.755082,ok,
SP_R_Yoga_2,movenet,3,0.121207,single,dim,13,13,0,591.850000,224.600000,126.520000,424.530000,53711.535600,1,1,direct,0.105581,13,13,0.000000,0.000000,0,0.200000,126.147900,7.927203,ok,
SP_R_Yoga_2,movenet,4,0.161609,single,dim,13,13,0,591.850000,224.600000,126.840000,424.530000,53847.385200,1,1,direct,0.107766,13,12,0.024336,0.076923,1,0.200000,129.598800,7.716121,ok,
SP_R_Yoga_2,movenet,5,0.202011,single,dim,13,13,0,591.850000,224.600000,127.170000,424.530000,53987.480100,1,1,direct,0.100746,13,11,0.072245,0.153846,2,0.200000,126.410900,7.910710,ok,
SP_R_Yoga_2,movenet,6,0.242413,single,dim,13,13,0,591.850000,224.600000,127.170000,424.530000,53987.480100,1,1,direct,0.137550,13,12,0.019076,0.076923,1,0.200000,126.852400,7.883178,ok,
SP_R_Yoga_2,movenet,7,0.282816,single,dim,13,13,0,591.850000,224.600000,127.170000,424.530000,53987.480100,1,1,direct,0.102210,13,12,0.030149,0.076923,1,0.200000,124.535100,8.029865,ok,
SP_R_Yoga_2,movenet,8,0.323218,single,dim,13,13,0,591.850000,224.600000,127.170000,424.530000,53987.480100,1,1,direct,0.148511,13,10,0.057672,0.230769,3,0.200000,134.538600,7.432811,ok,
SP_R_Yoga_2,movenet,9,0.363620,single,dim,13,13,0,591.850000,224.600000,127.170000,424.530000,53987.480100,1,1,direct,0.140789,13,12,0.001245,0.000000,0,0.200000,131.985800,7.576573,ok,
SP_R_Yoga_2,movenet,10,0.404022,single,dim,13,13,0,592.300000,224.600000,127.950000,424.380000,54299.421000,1,1,direct,0.183696,13,10,0.040359,0.153846,2,0.200000,129.061000,7.748274,ok,
SP_R_Yoga_2,movenet,11,0.444425,single,dim,13,13,0,592.740000,224.600000,128.740000,424.230000,54615.370200,1,1,direct,0.168748,13,11,0.023525,0.153846,2,0.200000,126.703300,7.892454,ok,
SP_R_Yoga_2,movenet,12,0.484827,single,dim,13,13,0,593.190000,224.600000,129.510000,424.080000,54922.600800,1,1,direct,0.180414,13,10,0.088894,0.230769,3,0.200000,126.958200,7.876608,ok,
SP_R_Yoga_2,movenet,13,0.525229,single,dim,13,13,0,593.630000,224.600000,130.300000,423.930000,55238.079000,1,1,direct,0.247815,13,5,0.068668,0.384615,5,0.200000,128.661000,7.772363,ok,
SP_R_Yoga_2,movenet,14,0.565631,single,dim,13,13,0,594.080000,224.600000,131.080000,423.780000,55549.082400,1,1,direct,0.270683,13,5,0.184741,0.615385,8,0.200000,125.861400,7.945248,ok,
SP_R_Yoga_2,movenet,15,0.606034,single,dim,13,13,0,594.530000,224.470000,132.810000,423.770000,56280.893700,1,1,direct,0.230142,13,7,0.076223,0.307692,4,0.200000,124.357300,8.041345,ok,
SP_R_Yoga_2,movenet,16,0.646436,single,dim,13,13,0,593.810000,224.340000,135.710000,423.750000,57507.112500,1,1,direct,0.262489,13,6,0.187526,0.461538,6,0.200000,125.130400,7.991663,ok,
SP_R_Yoga_2,movenet,17,0.686838,single,dim,13,13,0,593.030000,224.210000,138.670000,423.730000,58758.639100,1,1,direct,0.295362,13,3,0.337406,0.692308,9,0.200000,124.422300,8.037144,ok,
SP_R_Yoga_2,movenet,18,0.727240,single,dim,13,13,0,592.250000,224.070000,141.630000,423.720000,60011.463600,1,1,direct,0.280413,13,5,0.299609,0.615385,8,0.200000,124.245700,8.048568,ok,
SP_R_Yoga_2,movenet,19,0.767642,single,dim,13,13,0,591.470000,223.940000,144.580000,423.700000,61258.546000,1,1,direct,0.268339,13,6,0.213378,0.461538,6,0.200000,125.656300,7.958216,ok,
SP_R_Yoga_2,movenet,20,0.808045,single,dim,13,13,0,590.690000,223.810000,147.540000,423.680000,62509.747200,1,1,direct,0.352151,13,2,0.403468,0.769231,10,0.200000,124.286600,8.045920,ok,
SP_R_Yoga_2,movenet,21,0.848447,single,dim,13,13,0,589.010000,223.810000,150.720000,423.320000,63802.790400,1,1,direct,0.320757,13,3,0.425015,0.769231,10,0.200000,123.824700,8.075933,ok,
SP_R_Yoga_2,movenet,22,0.888849,single,dim,13,13,0,587.330000,223.810000,153.900000,422.950000,65092.005000,1,1,direct,0.313878,13,3,0.408588,0.769231,10,0.200000,123.466400,8.099370,ok,
SP_R_Yoga_2,movenet,23,0.929251,single,dim,13,13,0,585.650000,223.810000,157.070000,422.590000,66376.211300,1,1,direct,0.364318,13,2,0.501087,0.846154,11,0.200000,125.354900,7.977351,ok,
SP_R_Yoga_2,movenet,24,0.969654,single,dim,13,13,0,583.970000,223.810000,160.250000,422.230000,67662.357500,1,1,direct,0.350067,13,0,0.760883,1.000000,13,0.200000,124.457000,8.034904,ok,
SP_R_Yoga_2,movenet,25,1.010056,single,dim,13,13,0,582.290000,223.810000,163.420000,421.860000,68940.361200,1,1,direct,0.352743,13,1,0.596860,0.923077,12,0.200000,124.872400,8.008175,ok,
