video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_DudukBerdiri_2,movenet,0,0.000000,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.490973,12,0,0.451226,0.833333,10,0.200000,116.750500,8.565274,ok,
SP_T_DudukBerdiri_2,movenet,1,0.033311,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.502972,12,0,0.451995,0.833333,10,0.200000,126.670300,7.894510,ok,
SP_T_DudukBerdiri_2,movenet,2,0.066622,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.495388,12,0,0.465190,0.833333,10,0.200000,126.431400,7.909428,ok,
SP_T_DudukBerdiri_2,movenet,3,0.099933,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.495226,12,0,0.460958,0.833333,10,0.200000,125.001900,7.999878,ok,
SP_T_DudukBerdiri_2,movenet,4,0.133244,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.486804,12,0,0.429728,0.833333,10,0.200000,131.083000,7.628754,ok,
SP_T_DudukBerdiri_2,movenet,5,0.166556,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.486668,12,0,0.421287,0.833333,10,0.200000,129.146500,7.743144,ok,
SP_T_DudukBerdiri_2,movenet,6,0.199867,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.494001,12,0,0.454127,0.833333,10,0.200000,128.529700,7.780303,ok,
SP_T_DudukBerdiri_2,movenet,7,0.233178,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.491794,12,0,0.448936,0.833333,10,0.200000,126.605600,7.898545,ok,
SP_T_DudukBerdiri_2,movenet,8,0.266489,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.481007,12,0,0.460175,0.833333,10,0.200000,130.796200,7.645482,ok,
SP_T_DudukBerdiri_2,movenet,9,0.299800,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.480434,12,0,0.464906,0.833333,10,0.200000,133.245000,7.504972,ok,
SP_T_DudukBerdiri_2,movenet,10,0.333111,single,bright,12,12,0,511.310000,307.770000,116.140000,303.120000,35204.356800,1,1,direct,0.484298,12,0,0.459580,0.833333,10,0.200000,130.921900,7.638142,ok,
SP_T_DudukBerdiri_2,movenet,11,0.366422,single,bright,12,12,0,511.120000,307.350000,116.470000,303.470000,35345.150900,1,1,direct,0.495642,12,0,0.464723,0.833333,10,0.200000,129.677500,7.711438,ok,
SP_T_DudukBerdiri_2,movenet,12,0.399733,single,bright,12,12,0,510.920000,306.930000,116.810000,303.830000,35490.382300,1,1,direct,0.480504,12,0,0.479529,0.833333,10,0.200000,127.061500,7.870205,ok,
SP_T_DudukBerdiri_2,movenet,13,0.433044,single,bright,12,12,0,510.730000,306.500000,117.150000,304.190000,35635.858500,1,1,direct,0.497784,12,0,0.509105,0.833333,10,0.200000,126.570200,7.900754,ok,
SP_T_DudukBerdiri_2,movenet,14,0.466356,single,bright,12,12,0,510.530000,306.080000,117.490000,304.540000,35780.404600,1,1,direct,0.505126,12,0,0.515807,0.833333,10,0.200000,127.326200,7.853843,ok,
SP_T_DudukBerdiri_2,movenet,15,0.499667,single,bright,12,12,0,510.330000,305.660000,117.830000,304.890000,35925.188700,1,1,direct,0.466399,12,0,0.504053,0.833333,10,0.200000,126.417900,7.910272,ok,
SP_T_DudukBerdiri_2,movenet,16,0.532978,single,bright,12,12,0,510.140000,305.730000,118.110000,304.760000,35995.203600,1,1,direct,0.488074,12,0,0.450645,0.833333,10,0.200000,125.014600,7.999066,ok,
SP_T_DudukBerdiri_2,movenet,17,0.566289,single,bright,12,12,0,509.940000,305.810000,118.390000,304.610000,36062.777900,1,1,direct,0.483311,12,0,0.485509,0.833333,10,0.200000,123.493500,8.097592,ok,
SP_T_DudukBerdiri_2,movenet,18,0.599600,single,bright,12,12,0,509.740000,305.880000,118.680000,304.470000,36134.499600,1,1,direct,0.471754,12,0,0.486769,0.833333,10,0.200000,123.684000,8.085120,ok,
SP_T_DudukBerdiri_2,movenet,19,0.632911,single,bright,12,12,0,509.550000,305.960000,118.960000,304.330000,36203.096800,1,1,direct,0.474345,12,0,0.474722,0.833333,10,0.200000,123.669900,8.086042,ok,
SP_T_DudukBerdiri_2,movenet,20,0.666222,single,bright,12,12,0,509.020000,306.040000,119.580000,304.180000,36373.844400,1,1,direct,0.485923,12,0,0.483759,0.833333,10,0.200000,126.661600,7.895053,ok,
SP_T_DudukBerdiri_2,movenet,21,0.699533,single,bright,12,12,0,508.490000,306.110000,120.200000,304.040000,36545.608000,1,1,direct,0.483818,12,0,0.522598,0.833333,10,0.200000,126.342700,7.914980,ok,
SP_T_DudukBerdiri_2,movenet,22,0.732844,single,bright,12,12,0,507.960000,306.190000,120.820000,303.890000,36715.989800,1,1,direct,0.493932,12,0,0.509432,0.833333,10,0.200000,125.615700,7.960788,ok,
SP_T_DudukBerdiri_2,movenet,23,0.766156,single,bright,12,12,0,507.430000,306.270000,121.430000,303.750000,36884.362500,1,1,direct,0.464326,12,0,0.506686,0.833333,10,0.200000,123.701700,8.083963,ok,
SP_T_DudukBerdiri_2,movenet,24,0.799467,single,bright,12,12,0,507.830000,306.340000,121.140000,303.610000,36779.315400,1,1,direct,0.472856,12,1,0.467845,0.750000,9,0.200000,124.537900,8.029684,ok,
SP_T_DudukBerdiri_2,movenet,25,0.832778,single,bright,12,12,0,508.230000,306.420000,120.840000,303.460000,36670.106400,1,1,direct,0.477279,12,0,0.525600,0.833333,10,0.200000,125.447200,7.971481,ok,
SP_T_DudukBerdiri_2,movenet,26,0.866089,single,bright,12,12,0,508.620000,306.490000,120.550000,303.320000,36565.226000,1,1,direct,0.478288,12,0,0.490327,0.833333,10,0.200000,123.616900,8.089509,ok,
SP_T_DudukBerdiri_2,movenet,27,0.899400,single,bright,12,12,0,509.020000,306.570000,120.250000,303.180000,36457.395000,1,1,direct,0.476953,12,0,0.455695,0.833333,10,0.200000,123.731400,8.082023,ok,
SP_T_DudukBerdiri_2,movenet,28,0.932711,single,bright,12,12,0,509.420000,302.780000,119.410000,306.900000,36646.929000,1,1,direct,0.485380,12,0,0.498509,0.833333,10,0.200000,126.666500,7.894747,ok,
SP_T_DudukBerdiri_2,movenet,29,0.966022,single,bright,12,12,0,509.810000,298.980000,118.580000,310.630000,36834.505400,1,1,direct,0.457522,12,0,0.458708,1.000000,12,0.200000,125.386800,7.975321,ok,
SP_T_DudukBerdiri_2,movenet,30,0.999333,single,bright,12,12,0,510.210000,295.190000,117.740000,314.350000,37011.569000,1,1,direct,0.450714,12,0,0.452807,0.833333,10,0.200000,124.690400,8.019864,ok,
SP_T_DudukBerdiri_2,movenet,31,1.032644,single,bright,12,12,0,510.610000,291.390000,116.900000,318.090000,37184.721000,1,1,direct,0.416704,12,0,0.383606,0.916667,11,0.200000,124.155100,8.054442,ok,
SP_T_DudukBerdiri_2,movenet,32,1.065956,single,bright,12,12,0,510.610000,284.710000,116.900000,324.700000,37957.430000,1,1,direct,0.419462,12,1,0.338597,0.833333,10,0.200000,123.975400,8.066116,ok,
SP_T_DudukBerdiri_2,movenet,33,1.099267,single,bright,12,12,0,510.610000,278.030000,116.900000,331.310000,38730.139000,1,1,direct,0.462588,12,1,0.460567,0.916667,11,0.200000,123.063400,8.125893,ok,
SP_T_DudukBerdiri_2,movenet,34,1.132578,single,bright,12,12,0,510.610000,271.360000,116.900000,337.910000,39501.679000,1,1,direct,0.442868,12,1,0.466272,0.916667,11,0.200000,124.647500,8.022624,ok,
SP_T_DudukBerdiri_2,movenet,35,1.165889,single,bright,12,12,0,509.660000,264.680000,117.850000,344.530000,40602.860500,1,1,direct,0.449360,12,1,0.414333,0.916667,11,0.200000,125.133600,7.991459,ok,
SP_T_DudukBerdiri_2,movenet,36,1.199200,single,bright,12,12,0,507.300000,257.510000,121.810000,351.300000,42791.853000,1,1,direct,0.465091,12,1,0.465616,0.916667,11,0.200000,125.810800,7.948443,ok,
SP_T_DudukBerdiri_2,movenet,37,1.232511,single,bright,12,12,0,503.990000,250.350000,127.170000,358.070000,45535.761900,1,1,direct,0.448862,12,1,0.530494,0.916667,11,0.200000,122.859800,8.139359,ok,
SP_T_DudukBerdiri_2,movenet,38,1.265822,single,bright,12,12,0,500.690000,243.180000,132.520000,365.650000,48455.938000,1,1,direct,0.481255,12,0,0.623178,1.000000,12,0.200000,122.583800,8.157685,ok,
SP_T_DudukBerdiri_2,movenet,39,1.299133,single,bright,12,12,0,498.160000,235.230000,136.790000,373.520000,51093.800800,1,1,direct,0.430732,12,1,0.509059,0.916667,11,0.200000,126.267000,7.919726,ok,
SP_T_DudukBerdiri_2,movenet,40,1.332444,single,bright,12,12,0,495.630000,227.290000,141.060000,381.380000,53797.462800,1,1,direct,0.466288,12,0,0.680020,1.000000,12,0.200000,124.949300,8.003246,ok,
SP_T_DudukBerdiri_2,movenet,41,1.365756,single,bright,12,12,0,493.100000,219.340000,145.320000,389.250000,56565.810000,1,1,direct,0.457823,12,1,0.617766,0.916667,11,0.200000,126.293700,7.918051,ok,
SP_T_DudukBerdiri_2,movenet,42,1.399067,single,bright,12,12,0,490.560000,211.400000,149.600000,397.110000,59407.656000,1,1,direct,0.486738,12,1,0.650024,0.916667,11,0.200000,129.475800,7.723451,ok,
SP_T_DudukBerdiri_2,movenet,43,1.432378,single,bright,12,12,0,488.220000,208.080000,152.760000,400.360000,61158.993600,1,1,direct,0.514907,12,0,0.693024,1.000000,12,0.200000,124.042100,8.061779,ok,
SP_T_DudukBerdiri_2,movenet,44,1.465689,single,bright,12,12,0,485.870000,204.770000,155.930000,403.590000,62931.788700,1,1,direct,0.535198,12,0,0.699126,1.000000,12,0.200000,123.793200,8.077988,ok,
SP_T_DudukBerdiri_2,movenet,45,1.499000,single,bright,12,12,0,483.520000,201.450000,159.090000,406.830000,64722.584700,1,1,direct,0.511637,12,0,0.788046,1.000000,12,0.200000,126.042500,7.933832,ok,
SP_T_DudukBerdiri_2,movenet,46,1.532311,single,bright,12,12,0,481.170000,198.140000,162.260000,410.060000,66536.335600,1,1,direct,0.500461,12,0,0.785139,1.000000,12,0.200000,125.900600,7.942774,ok,
SP_T_DudukBerdiri_2,movenet,47,1.565622,single,bright,12,12,0,480.540000,196.480000,162.890000,411.640000,67052.039600,1,1,direct,0.505351,12,0,0.795243,1.000000,12,0.200000,125.410800,7.973795,ok,
SP_T_DudukBerdiri_2,movenet,48,1.598933,single,bright,12,12,0,479.910000,194.820000,163.520000,413.220000,67569.734400,1,1,direct,0.524243,12,0,0.815526,1.000000,12,0.200000,124.093700,8.058427,ok,
SP_T_DudukBerdiri_2,movenet,49,1.632244,single,bright,12,12,0,479.240000,193.160000,164.190000,414.810000,68107.653900,1,1,direct,0.556918,12,0,0.840263,1.000000,12,0.200000,124.580700,8.026926,ok,
SP_T_DudukBerdiri_2,movenet,50,1.665556,single,bright,12,12,0,476.710000,191.510000,166.720000,416.380000,69418.873600,1,1,direct,0.553482,12,0,0.872707,1.000000,12,0.200000,125.041000,7.997377,ok,
SP_T_DudukBerdiri_2,movenet,51,1.698867,single,bright,12,12,0,476.980000,191.410000,166.050000,416.490000,69158.164500,1,1,direct,0.565664,12,0,0.869858,1.000000,12,0.200000,128.766100,7.766019,ok,
SP_T_DudukBerdiri_2,movenet,52,1.732178,single,bright,12,12,0,477.250000,191.300000,165.390000,416.610000,68903.127900,1,1,direct,0.575246,12,0,0.866042,1.000000,12,0.200000,126.029400,7.934657,ok,
SP_T_DudukBerdiri_2,movenet,53,1.765489,single,bright,12,12,0,477.530000,191.200000,164.710000,416.720000,68637.951200,1,1,direct,0.580834,12,0,0.858573,1.000000,12,0.200000,126.720800,7.891364,ok,
SP_T_DudukBerdiri_2,movenet,54,1.798800,single,bright,12,12,0,477.410000,191.100000,164.430000,416.830000,68539.356900,1,1,direct,0.596752,12,0,0.866636,1.000000,12,0.200000,124.333300,8.042898,ok,
SP_T_DudukBerdiri_2,movenet,55,1.832111,single,bright,12,12,0,477.100000,191.030000,164.350000,416.920000,68520.802000,1,1,direct,0.578243,12,0,0.858183,1.000000,12,0.200000,126.172100,7.925682,ok,
SP_T_DudukBerdiri_2,movenet,56,1.865422,single,bright,12,12,0,476.790000,190.960000,164.260000,417.000000,68496.420000,1,1,direct,0.577225,12,0,0.865486,1.000000,12,0.200000,128.306600,7.793831,ok,
SP_T_DudukBerdiri_2,movenet,57,1.898733,single,bright,12,12,0,476.480000,190.900000,164.170000,417.070000,68470.381900,1,1,direct,0.586092,12,0,0.871738,1.000000,12,0.200000,126.575300,7.900436,ok,
