video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_Yoga_1,movenet,0,0.000000,single,bright,13,13,0,457.700000,298.100000,103.400000,381.150000,39410.910000,1,1,direct,0.450040,13,0,0.808177,1.000000,13,0.200000,115.840500,8.632559,ok,
SP_T_Yoga_1,movenet,1,0.033114,single,bright,13,13,0,458.480000,298.100000,104.000000,380.270000,39548.080000,1,1,direct,0.427767,13,0,0.786173,1.000000,13,0.200000,116.612700,8.575395,ok,
SP_T_Yoga_1,movenet,2,0.066229,single,bright,13,13,0,459.250000,298.100000,104.710000,379.390000,39725.926900,1,1,direct,0.453512,13,0,0.756305,1.000000,13,0.200000,125.760800,7.951603,ok,
SP_T_Yoga_1,movenet,3,0.099343,single,bright,13,13,0,459.050000,298.100000,110.610000,378.500000,41865.885000,1,1,direct,0.453284,13,0,0.776898,1.000000,13,0.200000,125.263200,7.983191,ok,
SP_T_Yoga_1,movenet,4,0.132457,single,bright,13,13,0,456.280000,298.100000,119.500000,377.620000,45125.590000,1,1,direct,0.460420,13,0,0.724553,1.000000,13,0.200000,131.318000,7.615102,ok,
SP_T_Yoga_1,movenet,5,0.165571,single,bright,13,13,0,453.510000,298.100000,128.390000,376.740000,48369.648600,1,1,direct,0.449224,13,0,0.727514,1.000000,13,0.200000,127.953800,7.815321,ok,
SP_T_Yoga_1,movenet,6,0.198686,single,bright,13,13,0,444.060000,298.100000,148.700000,375.850000,55888.895000,1,1,direct,0.486016,13,0,0.803513,1.000000,13,0.200000,126.623400,7.897434,ok,
SP_T_Yoga_1,movenet,7,0.231800,single,bright,13,13,0,434.610000,298.100000,169.020000,374.970000,63377.429400,1,1,direct,0.499286,13,0,0.834049,1.000000,13,0.200000,127.028400,7.872255,ok,
SP_T_Yoga_1,movenet,8,0.264914,single,bright,13,13,0,425.140000,298.690000,190.340000,373.500000,71091.990000,1,1,direct,0.482423,13,0,0.858945,1.000000,13,0.200000,134.499500,7.434972,ok,
SP_T_Yoga_1,movenet,9,0.298029,single,bright,13,13,0,415.660000,299.270000,211.670000,372.210000,78785.690700,1,1,direct,0.461262,13,0,0.852136,1.000000,13,0.200000,133.112800,7.512426,ok,
SP_T_Yoga_1,movenet,10,0.331143,single,bright,13,13,0,406.180000,299.860000,232.990000,371.620000,86583.743800,1,1,direct,0.472802,13,0,0.885284,1.000000,13,0.200000,130.685800,7.651941,ok,
SP_T_Yoga_1,movenet,11,0.364257,single,bright,13,13,0,400.530000,300.070000,247.390000,371.410000,91883.119900,1,1,direct,0.483112,13,0,0.873604,1.000000,13,0.200000,130.052300,7.689214,ok,
SP_T_Yoga_1,movenet,12,0.397371,single,bright,13,13,0,394.880000,300.270000,261.790000,371.210000,97179.065900,1,1,direct,0.507976,13,0,0.818901,1.000000,13,0.200000,127.881600,7.819733,ok,
SP_T_Yoga_1,movenet,13,0.430486,single,bright,13,13,0,389.230000,300.470000,276.190000,371.010000,102469.251900,1,1,direct,0.473920,13,0,0.876194,1.000000,13,0.200000,126.139200,7.927750,ok,
SP_T_Yoga_1,movenet,14,0.463600,single,bright,13,13,0,388.210000,300.470000,279.050000,371.010000,103530.340500,1,1,direct,0.444197,13,0,0.873710,1.000000,13,0.200000,126.979500,7.875287,ok,
SP_T_Yoga_1,movenet,15,0.496714,single,bright,13,13,0,387.190000,300.470000,281.900000,371.010000,104587.719000,1,1,direct,0.456420,13,0,0.853363,1.000000,13,0.200000,128.741200,7.767521,ok,
SP_T_Yoga_1,movenet,16,0.529829,single,bright,13,13,0,390.460000,300.470000,276.630000,371.010000,102632.496300,1,1,direct,0.475580,13,0,0.828056,1.000000,13,0.200000,124.911600,8.005662,ok,
