video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,movenet,multi,dim,121,121,0,0,1.000000,1283,73,900,0.312042,0.300562,0.312879,0.701481,115.918227,115.438500,119.755400,8.631107,8.626771,
MP_R_DudukBerdiri_2,movenet,multi,dim,150,150,0,0,1.000000,1538,929,28,0.007431,0.000041,0.007202,0.018205,117.110322,116.954050,120.566500,8.542772,8.538957,
MP_R_Jongkok_1,movenet,multi,dim,126,126,0,0,1.000000,1512,107,1244,0.444341,0.471904,0.444341,0.822751,117.394757,117.299650,121.161100,8.520409,8.518268,
MP_R_Jongkok_2,movenet,multi,dim,139,139,0,0,1.000000,1668,310,1029,0.343450,0.364845,0.343450,0.616906,117.093222,116.970900,119.836000,8.542305,8.540204,
MP_R_PushUp_1,movenet,multi,dim,77,77,0,0,1.000000,557,212,262,0.212853,0.187956,0.216430,0.470377,117.657056,117.408800,120.887000,8.503277,8.499278,
MP_R_PushUp_2,movenet,multi,dim,91,91,0,0,1.000000,728,390,12,0.012114,0.001836,0.012114,0.016484,117.658660,117.484300,120.935400,8.501157,8.499162,
MP_R_Yoga_1,movenet,multi,dim,182,182,0,0,1.000000,2361,1446,500,0.091278,0.070959,0.091364,0.211775,117.702942,117.412300,120.187900,8.498429,8.495964,
MP_R_Yoga_2,movenet,multi,dim,173,173,0,0,1.000000,2249,604,507,0.128225,0.098603,0.128225,0.225434,117.518250,117.317200,120.324600,8.511203,8.509317,
MP_T_DudukBerdiri_1,movenet,multi,bright,148,148,0,0,1.000000,1771,273,1078,0.320846,0.348857,0.320335,0.608696,117.510955,117.436300,119.797500,8.512340,8.509845,
MP_T_DudukBerdiri_2,movenet,multi,bright,145,145,0,0,1.000000,1697,441,205,0.043188,0.021703,0.042481,0.120801,118.058135,117.782100,120.083800,8.472640,8.470403,
MP_T_Jongkok_1,movenet,multi,bright,144,144,0,0,1.000000,1728,61,1612,0.604703,0.606785,0.604703,0.932870,118.167342,117.702350,121.978800,8.465855,8.462575,
MP_T_Jongkok_2,movenet,multi,bright,208,145,63,0,0.697115,1740,213,819,0.288110,0.238297,0.288110,0.470690,122.187695,123.155700,125.289600,8.188955,8.184130,
MP_T_PushUp_1,movenet,multi,bright,76,76,0,0,1.000000,532,179,275,0.328768,0.278941,0.352132,0.516917,125.950371,125.291400,131.236800,7.944826,7.939635,
MP_T_PushUp_2,movenet,multi,bright,134,134,0,0,1.000000,1072,592,117,0.059831,0.047610,0.059831,0.109142,124.672472,124.490500,127.195400,8.023131,8.021017,
MP_T_Yoga_1,movenet,multi,bright,171,171,0,0,1.000000,2223,84,1889,0.580919,0.589647,0.580919,0.849753,124.823392,124.750700,127.732800,8.013919,8.011319,
MP_T_Yoga_2,movenet,multi,bright,213,213,0,0,1.000000,2769,144,2457,0.654761,0.655738,0.654761,0.887324,124.742211,124.621500,128.008100,8.018568,8.016533,
SP_R_DudukBerdiri_1,movenet,single,dim,121,121,0,0,1.000000,1452,171,1011,0.294724,0.289410,0.294724,0.696281,125.697202,124.966800,130.933900,7.960747,7.955627,
SP_R_DudukBerdiri_2,movenet,single,dim,128,128,0,0,1.000000,1536,1362,96,0.025820,0.000000,0.025820,0.062500,125.149782,124.751150,128.643200,7.993254,7.990425,
SP_R_Jongkok_1,movenet,single,dim,109,109,0,0,1.000000,1308,122,1091,0.493594,0.530834,0.493594,0.834098,125.704408,125.251900,130.476100,7.957844,7.955170,
SP_R_Jongkok_2,movenet,single,dim,169,169,0,0,1.000000,2028,540,980,0.236658,0.243012,0.236658,0.483235,125.585240,125.468000,128.794900,7.966040,7.962719,
SP_R_PushUp_1,movenet,single,dim,85,85,0,0,1.000000,647,209,347,0.214543,0.190580,0.221530,0.536321,125.181219,124.916400,129.505800,7.991755,7.988419,
SP_R_PushUp_2,movenet,single,dim,130,130,0,0,1.000000,1214,799,158,0.075996,0.072303,0.075118,0.130148,125.376475,124.942750,129.636500,7.979019,7.975978,
SP_R_Yoga_1,movenet,single,dim,115,115,0,0,1.000000,1487,1185,211,0.062731,0.000274,0.062366,0.141896,125.292109,124.998200,129.172700,7.984192,7.981349,
SP_R_Yoga_2,movenet,single,dim,175,175,0,0,1.000000,2275,1151,965,0.251145,0.263155,0.251145,0.424176,125.363229,125.108400,128.247400,7.978857,7.976821,
SP_T_DudukBerdiri_1,movenet,single,bright,122,122,0,0,1.000000,1464,173,1260,0.473405,0.478286,0.473405,0.860656,125.374950,124.979600,128.650700,7.978970,7.976075,
SP_T_DudukBerdiri_2,movenet,single,bright,134,134,0,0,1.000000,1608,23,1468,0.598610,0.543601,0.598610,0.912935,125.255887,124.998900,129.146500,7.985761,7.983657,
SP_T_Jongkok_1,movenet,single,bright,124,124,0,0,1.000000,1488,45,1370,0.613664,0.667603,0.613664,0.920699,125.306915,124.917350,130.031500,7.983873,7.980406,
SP_T_Jongkok_2,movenet,single,bright,145,145,0,0,1.000000,1740,47,1550,0.691517,0.692714,0.691517,0.890805,126.314672,125.868900,131.191700,7.919915,7.916737,
SP_T_PushUp_1,movenet,single,bright,124,124,0,0,1.000000,998,37,929,0.672849,0.770113,0.703896,0.930862,126.030573,125.366900,130.271300,7.939328,7.934583,
SP_T_PushUp_2,movenet,single,bright,128,128,0,0,1.000000,1190,73,1055,0.600296,0.616967,0.604133,0.886555,125.565134,125.291400,129.821900,7.967295,7.963994,
SP_T_Yoga_1,movenet,single,bright,121,120,1,0,0.991736,1560,146,1396,0.662323,0.702171,0.662323,0.894872,125.376277,125.138300,128.299400,7.978696,7.975991,
