video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_Jongkok_2,posenet,0,0.000000,multi,dim,12,12,0,619.240000,277.780000,103.290000,372.000000,38423.880000,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.197900,81.981325,ok,
MP_R_Jongkok_2,posenet,1,0.040453,multi,dim,12,12,0,619.240000,277.650000,103.290000,372.130000,38437.307700,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,14.083200,71.006589,ok,
MP_R_Jongkok_2,posenet,2,0.080907,multi,dim,12,12,0,619.240000,277.520000,103.290000,372.260000,38450.735400,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,15.538100,64.357933,ok,
MP_R_Jongkok_2,posenet,3,0.121360,multi,dim,12,12,0,619.240000,277.390000,103.290000,372.390000,38464.163100,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,14.144400,70.699358,ok,
MP_R_Jongkok_2,posenet,4,0.161814,multi,dim,12,12,0,619.240000,277.250000,103.290000,372.530000,38478.623700,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.978700,77.049319,ok,
MP_R_Jongkok_2,posenet,5,0.202267,multi,dim,12,12,0,619.240000,277.120000,103.290000,372.660000,38492.051400,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.841000,72.249115,ok,
MP_R_Jongkok_2,posenet,6,0.242720,multi,dim,12,12,0,619.240000,276.990000,103.290000,372.790000,38505.479100,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.667600,85.707429,ok,
MP_R_Jongkok_2,posenet,7,0.283174,multi,dim,12,12,0,619.240000,276.860000,103.290000,372.920000,38518.906800,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,14.305300,69.904161,ok,
MP_R_Jongkok_2,posenet,8,0.323627,multi,dim,12,12,0,619.240000,276.730000,103.290000,373.050000,38532.334500,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.689400,85.547590,ok,
MP_R_Jongkok_2,posenet,9,0.364081,multi,dim,12,12,0,617.480000,277.330000,104.960000,372.450000,39092.352000,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.268000,75.369310,ok,
MP_R_Jongkok_2,posenet,10,0.404534,multi,dim,12,12,0,615.730000,277.920000,106.700000,371.860000,39677.462000,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.289200,81.372262,ok,
MP_R_Jongkok_2,posenet,11,0.444987,multi,dim,12,12,0,613.970000,278.520000,108.440000,371.260000,40259.434400,1,1,direct,1.000000,12,0,0.000001,0.000000,0,0.200000,14.003500,71.410719,ok,
MP_R_Jongkok_2,posenet,12,0.485441,multi,dim,12,12,0,612.210000,279.110000,110.190000,370.670000,40844.127300,1,1,direct,1.000000,12,0,0.000001,0.000000,0,0.200000,11.944800,83.718438,ok,
MP_R_Jongkok_2,posenet,13,0.525894,multi,dim,12,12,0,610.460000,279.700000,111.930000,370.080000,41423.054400,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.110400,76.275323,ok,
MP_R_Jongkok_2,posenet,14,0.566348,multi,dim,12,12,0,604.230000,280.300000,118.150000,369.480000,43654.062000,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.484200,74.160870,ok,
MP_R_Jongkok_2,posenet,15,0.606801,multi,dim,12,12,0,598.010000,280.890000,124.360000,368.890000,45875.160400,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.992400,83.386145,ok,
MP_R_Jongkok_2,posenet,16,0.647254,multi,dim,12,12,0,591.790000,281.490000,130.570000,368.290000,48087.625300,1,1,direct,1.000000,12,0,0.000053,0.000000,0,0.200000,12.057200,82.937996,ok,
MP_R_Jongkok_2,posenet,17,0.687708,multi,dim,12,12,0,585.570000,282.080000,136.780000,367.700000,50294.006000,1,1,direct,1.000000,12,0,0.000199,0.000000,0,0.200000,12.558400,79.627978,ok,
MP_R_Jongkok_2,posenet,18,0.728161,multi,dim,12,12,0,579.350000,282.680000,143.700000,367.100000,52752.270000,1,1,direct,1.000000,12,0,0.000005,0.000000,0,0.200000,11.774900,84.926411,ok,
MP_R_Jongkok_2,posenet,19,0.768615,multi,dim,12,12,0,573.130000,283.270000,151.380000,366.510000,55482.283800,1,1,direct,1.000000,12,0,0.000001,0.000000,0,0.200000,11.711200,85.388346,ok,
MP_R_Jongkok_2,posenet,20,0.809068,multi,dim,12,12,0,563.790000,288.270000,162.850000,361.510000,58871.903500,1,1,direct,1.000000,12,0,0.000023,0.000000,0,0.200000,12.404100,80.618505,ok,
MP_R_Jongkok_2,posenet,21,0.849521,multi,dim,12,12,0,554.460000,293.270000,174.310000,356.510000,62143.258100,1,1,direct,1.000000,12,0,0.000011,0.000000,0,0.200000,13.160900,75.982646,ok,
MP_R_Jongkok_2,posenet,22,0.889975,multi,dim,12,12,0,545.130000,298.270000,185.760000,351.510000,65296.497600,1,1,direct,1.000000,12,0,0.000023,0.000000,0,0.200000,11.730200,85.250038,ok,
MP_R_Jongkok_2,posenet,23,0.930428,multi,dim,12,12,0,535.800000,303.270000,197.220000,346.510000,68338.702200,1,1,direct,1.000000,12,0,0.000009,0.000000,0,0.200000,11.584600,86.321496,ok,
MP_R_Jongkok_2,posenet,24,0.970882,multi,dim,12,12,0,535.990000,308.830000,198.050000,340.950000,67525.147500,1,1,direct,1.000000,12,0,0.000036,0.000000,0,0.200000,12.151100,82.297076,ok,
MP_R_Jongkok_2,posenet,25,1.011335,multi,dim,12,12,0,536.190000,314.380000,198.860000,335.400000,66697.644000,1,1,direct,1.000000,12,0,0.000006,0.000000,0,0.200000,12.260500,81.562742,ok,
MP_R_Jongkok_2,posenet,26,1.051788,multi,dim,12,12,0,536.390000,319.930000,199.680000,329.850000,65864.448000,1,1,direct,1.000000,12,0,0.000010,0.000000,0,0.200000,11.636800,85.934278,ok,
MP_R_Jongkok_2,posenet,27,1.092242,multi,dim,12,12,0,536.590000,325.490000,200.500000,324.290000,65020.145000,1,1,direct,1.000000,12,0,0.000002,0.000000,0,0.200000,11.527300,86.750583,ok,
MP_R_Jongkok_2,posenet,28,1.132695,multi,dim,12,12,0,536.790000,331.040000,201.310000,318.740000,64165.549400,1,1,direct,1.000000,12,0,0.000001,0.000000,0,0.200000,11.961300,83.602953,ok,
MP_R_Jongkok_2,posenet,29,1.173149,multi,dim,12,12,0,535.590000,336.400000,203.820000,313.400000,63877.188000,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.191400,89.354326,ok,
MP_R_Jongkok_2,posenet,30,1.213602,multi,dim,12,12,0,534.390000,341.750000,206.340000,308.060000,63565.100400,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.626300,86.011887,ok,
MP_R_Jongkok_2,posenet,31,1.254055,multi,dim,12,12,0,533.190000,347.100000,208.850000,302.720000,63223.072000,1,1,direct,1.000000,12,0,0.000018,0.000000,0,0.200000,11.833400,84.506566,ok,
MP_R_Jongkok_2,posenet,32,1.294509,multi,dim,12,12,0,531.990000,352.450000,211.360000,297.380000,62854.236800,1,1,direct,1.000000,12,0,0.000004,0.000000,0,0.200000,11.222200,89.109087,ok,
MP_R_Jongkok_2,posenet,33,1.334962,multi,dim,12,12,0,530.790000,357.800000,213.870000,292.050000,62460.733500,1,1,direct,1.000000,12,0,0.000001,0.000000,0,0.200000,11.741400,85.168719,ok,
MP_R_Jongkok_2,posenet,34,1.375416,multi,dim,12,12,0,531.340000,362.530000,213.230000,287.330000,61267.375900,1,1,direct,1.000000,12,0,0.000013,0.000000,0,0.200000,11.540000,86.655113,ok,
MP_R_Jongkok_2,posenet,35,1.415869,multi,dim,12,12,0,531.880000,367.250000,212.590000,282.620000,60082.185800,1,1,direct,1.000000,12,0,0.000011,0.000000,0,0.200000,11.389400,87.800938,ok,
MP_R_Jongkok_2,posenet,36,1.456322,multi,dim,12,12,0,532.430000,371.980000,211.950000,277.900000,58900.905000,1,1,direct,1.000000,12,0,0.000007,0.000000,0,0.200000,12.054800,82.954508,ok,
MP_R_Jongkok_2,posenet,37,1.496776,multi,dim,12,12,0,532.980000,376.700000,211.300000,273.200000,57727.160000,1,1,direct,1.000000,12,0,0.000001,0.000000,0,0.200000,11.773700,84.935067,ok,
MP_R_Jongkok_2,posenet,38,1.537229,multi,dim,12,12,0,533.520000,381.430000,210.670000,268.480000,56560.681600,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.786900,84.839949,ok,
MP_R_Jongkok_2,posenet,39,1.577682,multi,dim,12,12,0,533.780000,384.940000,210.490000,264.980000,55775.640200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.600100,86.206153,ok,
MP_R_Jongkok_2,posenet,40,1.618136,multi,dim,12,12,0,534.030000,388.450000,210.320000,261.490000,54996.576800,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.048700,82.996506,ok,
MP_R_Jongkok_2,posenet,41,1.658589,multi,dim,12,12,0,534.280000,391.970000,210.150000,257.980000,54214.497000,1,1,direct,1.000000,12,0,0.000001,0.000000,0,0.200000,11.154000,89.653936,ok,
MP_R_Jongkok_2,posenet,42,1.699043,multi,dim,12,12,0,534.530000,395.480000,209.990000,254.480000,53438.255200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.965300,83.575004,ok,
MP_R_Jongkok_2,posenet,43,1.739496,multi,dim,12,12,0,534.790000,398.990000,209.810000,250.980000,52658.113800,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.829000,77.948398,ok,
MP_R_Jongkok_2,posenet,44,1.779949,multi,dim,12,12,0,534.200000,400.360000,210.870000,249.630000,52639.478100,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.059700,82.920802,ok,
MP_R_Jongkok_2,posenet,45,1.820403,multi,dim,12,12,0,533.610000,400.780000,211.930000,249.220000,52817.194600,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.994600,71.456133,ok,
MP_R_Jongkok_2,posenet,46,1.860856,multi,dim,12,12,0,533.030000,401.210000,212.990000,248.800000,52991.912000,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.650000,79.051383,ok,
MP_R_Jongkok_2,posenet,47,1.901310,multi,dim,12,12,0,532.440000,401.630000,214.050000,248.390000,53167.879500,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.084400,76.426890,ok,
MP_R_Jongkok_2,posenet,48,1.941763,multi,dim,12,12,0,531.850000,402.060000,215.110000,247.980000,53342.977800,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.702400,85.452557,ok,
MP_R_Jongkok_2,posenet,49,1.982216,multi,dim,12,12,0,531.850000,402.480000,215.110000,247.570000,53254.782700,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,14.161100,70.615983,ok,
MP_R_Jongkok_2,posenet,50,2.022670,multi,dim,12,12,0,531.850000,402.910000,215.110000,247.150000,53164.436500,1,1,direct,1.000000,12,0,0.000002,0.000000,0,0.200000,13.170900,75.924956,ok,
MP_R_Jongkok_2,posenet,51,2.063123,multi,dim,12,12,0,531.850000,403.330000,215.110000,246.740000,53076.241400,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.281400,75.293267,ok,
MP_R_Jongkok_2,posenet,52,2.103577,multi,dim,12,12,0,531.850000,403.760000,215.110000,246.330000,52988.046300,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.127100,82.459945,ok,
MP_R_Jongkok_2,posenet,53,2.144030,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,14.261700,70.117868,ok,
MP_R_Jongkok_2,posenet,54,2.184483,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.861600,77.750824,ok,
MP_R_Jongkok_2,posenet,55,2.224937,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.508700,74.026368,ok,
MP_R_Jongkok_2,posenet,56,2.265390,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,11.633500,85.958654,ok,
MP_R_Jongkok_2,posenet,57,2.305844,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,15.514800,64.454585,ok,
MP_R_Jongkok_2,posenet,58,2.346297,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.962100,71.622464,ok,
MP_R_Jongkok_2,posenet,59,2.386750,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.788600,72.523679,ok,
MP_R_Jongkok_2,posenet,60,2.427204,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.244800,75.501329,ok,
MP_R_Jongkok_2,posenet,61,2.467657,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,12.017700,83.210598,ok,
MP_R_Jongkok_2,posenet,62,2.508111,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.877800,72.057531,ok,
MP_R_Jongkok_2,posenet,63,2.548564,multi,dim,12,12,0,531.850000,404.180000,215.110000,245.920000,52899.851200,1,1,direct,1.000000,12,0,0.000000,0.000000,0,0.200000,13.056400,76.590791,ok,
