video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_PushUp_2,posenet,0,0.000000,multi,dim,12,8,0,417.470000,222.230000,297.160000,200.630000,59619.210800,1,1,direct,1.000000,8,0,0.000003,0.000000,0,0.200000,12.321700,81.157632,ok,
MP_R_PushUp_2,posenet,1,0.039696,multi,dim,12,8,0,418.230000,224.200000,297.270000,198.710000,59070.521700,1,1,direct,1.000000,8,0,0.000004,0.000000,0,0.200000,11.169500,89.529522,ok,
MP_R_PushUp_2,posenet,2,0.079392,multi,dim,12,8,0,419.000000,226.170000,297.370000,196.800000,58522.416000,1,1,direct,1.000000,8,0,0.000012,0.000000,0,0.200000,11.536400,86.682154,ok,
MP_R_PushUp_2,posenet,3,0.119088,multi,dim,12,8,0,419.760000,228.140000,297.490000,194.880000,57974.851200,1,1,direct,1.000000,8,0,0.000009,0.000000,0,0.200000,11.463400,87.234154,ok,
MP_R_PushUp_2,posenet,4,0.158783,multi,dim,12,8,0,420.530000,230.110000,297.590000,192.970000,57425.942300,1,1,direct,1.000000,8,0,0.000041,0.000000,0,0.200000,11.278200,88.666631,ok,
MP_R_PushUp_2,posenet,5,0.198479,multi,dim,12,8,0,421.290000,232.070000,297.710000,191.060000,56880.472600,1,1,direct,1.000000,8,0,0.000355,0.000000,0,0.200000,11.821200,84.593781,ok,
MP_R_PushUp_2,posenet,6,0.238175,multi,dim,12,8,0,422.060000,236.230000,300.000000,186.960000,56088.000000,1,1,direct,1.000000,8,0,0.000055,0.000000,0,0.200000,11.603600,86.180151,ok,
MP_R_PushUp_2,posenet,7,0.277871,multi,dim,12,8,0,422.820000,240.390000,302.300000,182.850000,55275.555000,1,1,direct,1.000000,8,0,0.000219,0.000000,0,0.200000,11.159900,89.606538,ok,
MP_R_PushUp_2,posenet,8,0.317567,multi,dim,12,8,0,423.590000,244.540000,304.590000,178.760000,54448.508400,1,1,direct,1.000000,8,0,0.000076,0.000000,0,0.200000,12.109000,82.583203,ok,
MP_R_PushUp_2,posenet,9,0.357263,multi,dim,12,8,0,424.360000,248.700000,306.890000,174.650000,53598.338500,1,1,direct,1.000000,8,0,0.000069,0.000000,0,0.200000,12.570700,79.550065,ok,
MP_R_PushUp_2,posenet,10,0.396959,multi,dim,12,8,0,425.120000,252.850000,309.190000,170.560000,52735.446400,1,1,direct,1.000000,8,0,0.000008,0.000000,0,0.200000,12.547200,79.699056,ok,
MP_R_PushUp_2,posenet,11,0.436654,multi,dim,12,8,0,425.890000,260.400000,311.920000,162.790000,50777.456800,1,1,direct,1.000000,8,0,0.000016,0.000000,0,0.200000,13.334100,74.995688,ok,
MP_R_PushUp_2,posenet,12,0.476350,multi,dim,12,8,0,426.650000,267.940000,314.660000,155.030000,48781.739800,1,1,direct,1.000000,8,0,0.000006,0.000000,0,0.200000,13.236600,75.548101,ok,
MP_R_PushUp_2,posenet,13,0.516046,multi,dim,12,8,0,427.420000,275.490000,317.390000,147.260000,46738.851400,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,12.666300,78.949654,ok,
MP_R_PushUp_2,posenet,14,0.555742,multi,dim,12,8,0,428.180000,276.910000,320.120000,145.620000,46615.874400,1,1,direct,1.000000,8,0,0.000001,0.000000,0,0.200000,11.460400,87.256989,ok,
MP_R_PushUp_2,posenet,15,0.595438,multi,dim,12,8,0,428.950000,276.730000,322.850000,145.580000,47000.503000,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.201900,89.270570,ok,
MP_R_PushUp_2,posenet,16,0.635134,multi,dim,12,8,0,430.040000,276.600000,324.360000,145.710000,47262.495600,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.252700,88.867561,ok,
MP_R_PushUp_2,posenet,17,0.674829,multi,dim,12,8,0,431.140000,276.460000,325.860000,145.850000,47526.681000,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.253200,88.863612,ok,
MP_R_PushUp_2,posenet,18,0.714525,multi,dim,12,8,0,432.230000,276.150000,327.360000,146.160000,47846.937600,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,10.976700,91.102062,ok,
MP_R_PushUp_2,posenet,19,0.754221,multi,dim,12,8,0,433.320000,275.740000,328.870000,146.570000,48202.475900,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.614200,86.101496,ok,
MP_R_PushUp_2,posenet,20,0.793917,multi,dim,12,8,0,433.730000,276.320000,331.740000,145.990000,48430.722600,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.170900,89.518302,ok,
MP_R_PushUp_2,posenet,21,0.833613,multi,dim,12,8,0,434.140000,276.460000,334.610000,145.850000,48802.868500,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.585600,86.314045,ok,
MP_R_PushUp_2,posenet,22,0.873309,multi,dim,12,8,0,434.550000,276.600000,337.480000,145.710000,49174.210800,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.591200,86.272345,ok,
MP_R_PushUp_2,posenet,23,0.913005,multi,dim,12,8,0,434.960000,276.730000,340.350000,145.580000,49548.153000,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.073700,90.304054,ok,
MP_R_PushUp_2,posenet,24,0.952700,multi,dim,12,8,0,434.930000,276.750000,339.970000,145.560000,49486.033200,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.816500,84.627428,ok,
MP_R_PushUp_2,posenet,25,0.992396,multi,dim,12,8,0,434.900000,276.760000,339.590000,145.550000,49427.324500,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.261900,88.794964,ok,
MP_R_PushUp_2,posenet,26,1.032092,multi,dim,12,8,0,434.870000,276.780000,339.210000,145.530000,49365.231300,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.197200,89.308041,ok,
MP_R_PushUp_2,posenet,27,1.071788,multi,dim,12,8,0,434.840000,276.690000,338.840000,145.620000,49341.880800,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.370200,87.949201,ok,
MP_R_PushUp_2,posenet,28,1.111484,multi,dim,12,8,0,434.810000,276.800000,339.140000,145.510000,49348.261400,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.810400,84.671137,ok,
MP_R_PushUp_2,posenet,29,1.151180,multi,dim,12,8,0,434.790000,276.820000,339.430000,145.490000,49383.670700,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.315200,88.376697,ok,
MP_R_PushUp_2,posenet,30,1.190876,multi,dim,12,8,0,434.760000,276.840000,339.740000,145.470000,49421.977800,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.531100,86.721995,ok,
MP_R_PushUp_2,posenet,31,1.230571,multi,dim,12,8,0,434.730000,276.850000,340.040000,145.460000,49462.218400,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.445000,87.374399,ok,
MP_R_PushUp_2,posenet,32,1.270267,multi,dim,12,8,0,434.700000,276.870000,339.660000,145.440000,49400.150400,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.181400,89.434239,ok,
MP_R_PushUp_2,posenet,33,1.309963,multi,dim,12,8,0,434.670000,276.880000,339.280000,145.430000,49341.490400,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.271500,88.719336,ok,
MP_R_PushUp_2,posenet,34,1.349659,multi,dim,12,8,0,434.640000,276.900000,338.900000,145.410000,49279.449000,1,1,direct,1.000000,8,0,0.000000,0.000000,0,0.200000,11.282100,88.635981,ok,
