video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,posenet,multi,dim,121,121,0,0,1.000000,1283,0,39,0.007433,0.000018,0.007389,0.030398,15.117568,12.539200,25.421000,74.252131,66.148207,
MP_R_DudukBerdiri_2,posenet,multi,dim,150,150,0,0,1.000000,1538,0,11,0.000492,0.000000,0.000528,0.007152,12.135465,11.913850,13.564300,82.747023,82.403103,
MP_R_Jongkok_1,posenet,multi,dim,126,126,0,0,1.000000,1512,0,0,0.000009,0.000000,0.000009,0.000000,12.190681,11.944400,13.590600,82.334802,82.029872,
MP_R_Jongkok_2,posenet,multi,dim,139,139,0,0,1.000000,1668,0,1,0.000016,0.000000,0.000016,0.000600,12.712328,12.481300,14.305300,79.111913,78.663797,
MP_R_PushUp_1,posenet,multi,dim,77,77,0,0,1.000000,557,0,20,0.008142,0.000002,0.009310,0.035907,12.092456,11.815900,13.736800,83.060317,82.696188,
MP_R_PushUp_2,posenet,multi,dim,91,91,0,0,1.000000,728,0,1,0.000125,0.000000,0.000125,0.001374,11.633369,11.536400,12.547200,86.078090,85.959620,
MP_R_Yoga_1,posenet,multi,dim,182,182,0,0,1.000000,2361,0,93,0.010499,0.003708,0.010512,0.039390,12.110302,11.790700,13.516200,82.900324,82.574323,
MP_R_Yoga_2,posenet,multi,dim,173,173,0,0,1.000000,2249,0,21,0.002925,0.000889,0.002925,0.009337,12.107045,11.780400,14.023500,82.996451,82.596537,
MP_T_DudukBerdiri_1,posenet,multi,bright,148,148,0,0,1.000000,1771,0,47,0.005473,0.000000,0.005489,0.026539,11.828527,11.678650,12.832900,84.725992,84.541380,
MP_T_DudukBerdiri_2,posenet,multi,bright,145,145,0,0,1.000000,1697,0,0,0.000001,0.000000,0.000001,0.000000,12.216792,12.079900,13.576100,82.090775,81.854551,
MP_T_Jongkok_1,posenet,multi,bright,144,144,0,0,1.000000,1728,0,5,0.000542,0.000000,0.000542,0.002894,11.941631,11.846200,12.875900,83.869751,83.740653,
MP_T_Jongkok_2,posenet,multi,bright,208,145,63,0,0.697115,1740,0,46,0.002442,0.000006,0.002442,0.026437,11.806925,11.690400,12.829100,84.826612,84.696061,
MP_T_PushUp_1,posenet,multi,bright,76,76,0,0,1.000000,532,0,78,0.034475,0.015028,0.032592,0.146617,12.445383,12.371850,13.594800,80.628844,80.351083,
MP_T_PushUp_2,posenet,multi,bright,134,134,0,0,1.000000,1072,0,3,0.000925,0.000001,0.000925,0.002799,12.226728,12.012550,13.543400,82.084479,81.788028,
MP_T_Yoga_1,posenet,multi,bright,171,171,0,0,1.000000,2223,0,51,0.007083,0.000205,0.007083,0.022942,11.990564,11.864000,13.027400,83.584492,83.398910,
MP_T_Yoga_2,posenet,multi,bright,213,213,0,0,1.000000,2769,0,20,0.001059,0.000002,0.001059,0.007223,11.931610,11.855500,12.846700,83.922501,83.810987,
SP_R_DudukBerdiri_1,posenet,single,dim,121,121,0,0,1.000000,1452,0,90,0.017355,0.007549,0.017355,0.061983,12.026916,11.907600,12.939700,83.291098,83.146837,
SP_R_DudukBerdiri_2,posenet,single,dim,128,128,0,0,1.000000,1536,0,58,0.015072,0.000002,0.015072,0.037760,11.868752,11.777950,12.785500,84.357974,84.254854,
SP_R_Jongkok_1,posenet,single,dim,109,109,0,0,1.000000,1308,0,0,0.000000,0.000000,0.000000,0.000000,12.650920,12.534800,14.049600,79.371313,79.045633,
SP_R_Jongkok_2,posenet,single,dim,169,169,0,0,1.000000,2028,0,9,0.000101,0.000004,0.000101,0.004438,12.205849,11.962400,14.023100,82.340316,81.927934,
SP_R_PushUp_1,posenet,single,dim,85,85,0,0,1.000000,647,0,0,0.000005,0.000000,0.000006,0.000000,13.085438,13.159500,14.377400,76.645480,76.420830,
SP_R_PushUp_2,posenet,single,dim,130,130,0,0,1.000000,1214,0,49,0.017223,0.001819,0.019031,0.040362,12.935927,12.875950,14.248600,77.655297,77.304085,
SP_R_Yoga_1,posenet,single,dim,115,115,0,0,1.000000,1487,0,50,0.007407,0.000054,0.007307,0.033625,12.538931,12.481500,13.850600,80.058885,79.751613,
SP_R_Yoga_2,posenet,single,dim,175,175,0,0,1.000000,2275,0,41,0.002781,0.000317,0.002781,0.018022,12.311395,12.177200,13.661500,81.580172,81.225561,
SP_T_DudukBerdiri_1,posenet,single,bright,122,122,0,0,1.000000,1464,0,0,0.000000,0.000000,0.000000,0.000000,12.094967,11.811050,13.522100,82.993539,82.679017,
SP_T_DudukBerdiri_2,posenet,single,bright,134,134,0,0,1.000000,1608,0,0,0.000001,0.000000,0.000001,0.000000,12.230472,12.099950,13.613400,82.086131,81.762996,
SP_T_Jongkok_1,posenet,single,bright,124,124,0,0,1.000000,1488,0,0,0.000005,0.000000,0.000005,0.000000,12.160673,11.970400,13.573600,82.505839,82.232288,
SP_T_Jongkok_2,posenet,single,bright,145,145,0,0,1.000000,1740,0,13,0.000776,0.000000,0.000776,0.007471,12.252345,11.973900,13.483100,81.952032,81.617030,
SP_T_PushUp_1,posenet,single,bright,124,124,0,0,1.000000,998,0,61,0.007184,0.000462,0.007545,0.061122,12.262748,12.168250,13.542500,81.858166,81.547793,
SP_T_PushUp_2,posenet,single,bright,128,128,0,0,1.000000,1190,0,33,0.003419,0.000021,0.003901,0.027731,12.299455,12.122800,13.982500,81.708793,81.304412,
SP_T_Yoga_1,posenet,single,bright,121,120,1,0,0.991736,1560,0,72,0.024182,0.003885,0.024182,0.046154,12.415731,12.222200,13.903400,80.922812,80.542979,
SP_T_Yoga_2,posenet,single,bright,226,226,0,0,1.000000,2938,0,19,0.001220,0.000000,0.001220,0.006467,12.207712,11.906500,13.765100,82.346259,81.915435,
