video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,yolopose,multi,dim,121,121,0,0,1.000000,1283,0,1137,0.544158,0.568496,0.545519,0.886204,26.320983,25.568200,30.504100,38.932490,37.992503,
MP_R_DudukBerdiri_2,yolopose,multi,dim,150,150,0,0,1.000000,1538,0,1331,0.600604,0.622569,0.597468,0.865410,26.206600,26.442600,29.803500,38.366513,38.158327,
MP_R_Jongkok_1,yolopose,multi,dim,126,126,0,0,1.000000,1512,0,1469,0.795920,0.824037,0.795920,0.971561,26.827040,26.738500,30.384500,37.635994,37.275824,
MP_R_Jongkok_2,yolopose,multi,dim,139,139,0,0,1.000000,1668,0,1594,0.696751,0.671207,0.696751,0.955635,25.632031,23.944300,33.517500,39.561280,39.013686,
MP_R_PushUp_1,yolopose,multi,dim,77,77,0,0,1.000000,557,0,327,0.358748,0.454125,0.395339,0.587074,24.066171,23.363600,28.726800,41.788659,41.552102,
MP_R_PushUp_2,yolopose,multi,dim,91,91,0,0,1.000000,728,0,14,0.008617,0.000983,0.008617,0.019231,24.020392,23.183800,28.174600,41.836982,41.631293,
MP_R_Yoga_1,yolopose,multi,dim,182,182,0,0,1.000000,2361,0,1879,0.667501,0.660471,0.667157,0.795849,24.446680,23.657700,28.445600,41.136077,40.905350,
MP_R_Yoga_2,yolopose,multi,dim,173,173,0,0,1.000000,2249,0,1621,0.576190,0.488235,0.576190,0.720765,25.741793,24.265600,30.795400,39.425097,38.847333,
MP_T_DudukBerdiri_1,yolopose,multi,bright,148,148,0,0,1.000000,1771,0,1755,0.783599,0.796146,0.783390,0.990966,26.546572,26.452050,30.252800,37.974699,37.669648,
MP_T_DudukBerdiri_2,yolopose,multi,bright,145,145,0,0,1.000000,1697,0,1579,0.635375,0.653588,0.632606,0.930466,26.161130,26.288100,29.426200,38.388277,38.224648,
MP_T_Jongkok_1,yolopose,multi,bright,144,144,0,0,1.000000,1728,0,1724,0.850521,0.890743,0.850521,0.997685,26.663723,26.619450,31.268600,37.818017,37.504140,
MP_T_Jongkok_2,yolopose,multi,bright,208,145,63,0,0.697115,1740,0,940,0.241934,0.213348,0.241934,0.540230,25.647379,25.758100,29.108500,39.229598,38.990339,
MP_T_PushUp_1,yolopose,multi,bright,76,76,0,0,1.000000,532,0,466,0.508803,0.470790,0.530671,0.875940,27.535003,26.391450,39.278900,37.079593,36.317411,
MP_T_PushUp_2,yolopose,multi,bright,134,134,0,0,1.000000,1072,0,707,0.325457,0.340476,0.325457,0.659515,27.026234,26.380800,32.529400,37.534580,37.001086,
MP_T_Yoga_1,yolopose,multi,bright,171,171,0,0,1.000000,2223,0,2191,0.836925,0.873212,0.836925,0.985605,27.305356,26.100300,35.201700,37.473894,36.622851,
MP_T_Yoga_2,yolopose,multi,bright,213,213,0,0,1.000000,2769,0,2754,0.791148,0.780786,0.791148,0.994583,24.770374,23.519600,32.494900,40.910780,40.370808,
SP_R_DudukBerdiri_1,yolopose,single,dim,121,121,0,0,1.000000,1452,0,1416,0.646200,0.602593,0.646200,0.975207,27.707369,25.576400,36.475300,37.282985,36.091481,
SP_R_DudukBerdiri_2,yolopose,single,dim,128,128,0,0,1.000000,1536,0,1427,0.744898,0.760931,0.744898,0.929036,24.288341,24.031750,27.173800,41.304651,41.172017,
SP_R_Jongkok_1,yolopose,single,dim,109,109,0,0,1.000000,1308,0,1297,0.823013,0.818239,0.823013,0.991590,24.073354,23.716300,26.099300,41.678419,41.539704,
SP_R_Jongkok_2,yolopose,single,dim,169,169,0,0,1.000000,2028,0,1949,0.782850,0.812831,0.782850,0.961045,27.877576,25.147700,35.521500,36.969255,35.871124,
SP_R_PushUp_1,yolopose,single,dim,85,85,0,0,1.000000,647,0,560,0.526320,0.573266,0.537649,0.865533,27.377731,24.679900,39.894000,37.888869,36.526037,
SP_R_PushUp_2,yolopose,single,dim,130,127,0,3,0.976923,1214,28,826,0.317815,0.258797,0.333393,0.680395,26.920265,24.852900,36.768000,38.063744,37.146736,
SP_R_Yoga_1,yolopose,single,dim,115,115,0,0,1.000000,1487,0,1274,0.682231,0.687269,0.682203,0.856759,27.920079,25.250100,36.328000,36.989569,35.816517,
SP_R_Yoga_2,yolopose,single,dim,175,175,0,0,1.000000,2275,0,2052,0.699942,0.658439,0.699942,0.901978,25.463765,23.425300,34.629200,40.074162,39.271490,
SP_T_DudukBerdiri_1,yolopose,single,bright,122,122,0,0,1.000000,1464,0,1464,0.807456,0.811867,0.807456,1.000000,26.255336,23.806250,34.586500,38.964363,38.087496,
SP_T_DudukBerdiri_2,yolopose,single,bright,134,134,0,0,1.000000,1608,0,1607,0.779178,0.769015,0.779178,0.999378,26.190499,24.115800,34.474800,38.961195,38.181785,
SP_T_Jongkok_1,yolopose,single,bright,124,124,0,0,1.000000,1488,0,1477,0.819959,0.839931,0.819959,0.992608,27.699908,25.114350,35.960500,37.103714,36.101203,
SP_T_Jongkok_2,yolopose,single,bright,145,145,0,0,1.000000,1740,0,1665,0.780445,0.766314,0.780445,0.956897,25.859469,23.706700,34.472500,39.502414,38.670554,
SP_T_PushUp_1,yolopose,single,bright,124,124,0,0,1.000000,998,0,997,0.625264,0.679159,0.642015,0.998998,26.798265,24.199550,35.197600,38.197791,37.315849,
SP_T_PushUp_2,yolopose,single,bright,128,128,0,0,1.000000,1190,0,852,0.320030,0.336519,0.334868,0.715966,26.730538,24.233150,35.240000,38.282417,37.410395,
SP_T_Yoga_1,yolopose,single,bright,121,120,1,0,0.991736,1560,0,1560,0.808418,0.802555,0.808418,1.000000,26.465447,24.020200,34.211100,38.648706,37.785116,
SP_T_Yoga_2,yolopose,single,bright,226,226,0,0,1.000000,2938,0,2938,0.805399,0.764806,0.805399,1.000000,24.670250,23.010700,33.764900,41.329178,40.534652,
